번호,하위분류,제목,문의내용,답변부서,답변내용
264,"(건설공사) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",해체감리 업무 상,아파트 재건축 해체감리 중입니다.해체감리 중 감리의 업무가 폐기물 반출도 포함되는 것으로 알고있습니다. 현재 폐기물은 세륜기를 지나 반출되어 나가게 되어있습니다.그러면 해체감리가( 세륜기에서 나온 유류 함유 폐수 등의 )세륜수 외부 유출 까지 신경써서 감리를 해야하나요세륜수까지 보는 것이 의무사항인지 권고사항인지 감리의 업무범위를 알고싶습니다.,건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “해체감리 업무 범위에 대한 질의”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.    가. 질의 하여주신 내용은 감리 업무중 세륜수 외부 유출관리를 해야하는지에 대해 질의하신 것으로 파악됩니다. 감리업무 범위에 관련하여 4월 27일 정화조 철거 청소서류 관련하여 질의를 하신것으로 확인하였습니다. 저희원은 건축물관리법 제30조(건축물 해체의 허가), 건축물관리법 시행령제21조(건축물 해체의 신고 대상 건축물 등), 건축물관리법 제18조(건축물관리점검기관의 지정 등), 제30조의4(현장점검), 건설기술 진흥법제62조(건설공사의 안전관리), 건설기술 진흥법 시행령제98조(안전관리계획의 수립) 등 건설현장 안전관리계획에 관하여 업무를 수행하지만 감리의 업무 범위 등에 관하여서는 저희원의 업무와는 무관하며 해당 내용에 대해서 알고있지 않습니다.    나. 감리업무 범위에 관하여서는 관련 지자체 및 한국건설엔지니어링협회, 관련 감리 협회에 문의하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다."
265,"터널,공동구 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련문의",정밀안전진단의 적정성 심의 관련 문의,안녕하세요.건설기술진흥법 시행령 제19조제5항제5조 내용에 따르면「시설물의 안전 및 유지관리에 관한 특별법」 제12조에 따른 정밀안전진단의 적정성에 관한 사항을 심의하게끔 되어 있는 것으로 알고 있습니다.진단의 적정성 심의를 받아야하는 부분이의무사항인지 선택사항인지 궁금하여 질의드립니다.바쁘신 와중에 죄송합니다만자세한 설명 부탁드리겠습니다.감사합니다~,시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “정밀안전진단의 적정성”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 질의 주신사항에 대하여 유선상으로 관련사항을 안내하였습니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 심규현 ☏ 055-771-8363)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
266,건축물 관리점검결과 평가 관련 문의,건축물 생애이력 관리시스템에서 건축물 관리 점검에 관한 질의입니다.,"건축물 정기점검 업체자격에 관한 질의 입니다. (정기안전점검, 정밀안전점검, 긴급안전검검 아닙니다. 똑같은 내용으로 질의 남겼는데 정기안전점검, 정밀안전점검, 긴급안전검검  내용으로 답변받아 다시 질의 드립니다.)건축물 정기점검등 책임자 및 점검자 교육이수 후 보수교육을 받지않은 상태에서 점검을 하는것이 문제가 없는지 궁금합니다. (종종 교육 기간이 만료된 업체에서 점검을 진행하고있기에 문의드립니다.)또한 같은 건축물 정기점검 중 장비에 관한 질문입니다.앞전 질의에서는 시설물의 안전 및 유지관리에 관한 특별법 시행규칙에 따라 장비를 갖추어야한다고 안내받았는데건축물 정기점검시에 이 시행규칙에 따라 장비를 갖추는게 맞는지 궁금합니다. 또한 레이저 거리측정기의 경우 요구하는 스펙이 있는지 궁금합니다.",건축시설관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “정기점검 등을 수행하는 점검책임자 및 점검자가 신규 교육 이수 후 기한 내 보수 교육을 받지 않아도 정기점검 등이 가능한 지 여부와 건축물관리점검기관이 갖추어야 할 장비 등”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.    가. 건축물관리법 (이하, “법”) 시행령(이하, “영”) 제13조제4항에는 점검책임자 및 점검자(이하, “점검자”)는 법 제13조부터 제16조까지의 정기점검, 긴급점검, 소규모 노후 건축물등 점검 및 안전진단(이하,“건축물관리점검”) 업무를 하려면 [별표 3]에 따라 신규교육 및 보수교육을 이수해야 한다고 되어있고, 영 제12조제2항은 건축물관리점검기관(이하,“점검기관”)이 갖춰야 할 요건을 [별표 1]과 같이 명시하고 있습니다.   나. 건축물관리점검 업무를 하려는 점검자는 영 [별표 3]에 따라 신규교육을 이수하고 그 이후 3년마다 보수 교육을 받도록 되어 있어, 법 제18조 및 영 제12조에 따라 지정된 점검기관은 해당 교육을 이수한 자격 기준에 적합한 자를 점검자로 지정하여 업무를 수행하도록 해야 합니다.   다. 정기점검을 수행할 점검기관은 영 [별표 1]의 제1호나목에 따른  장비를 갖추도록 되어있고, 장비에 요구되는 세부적인 성능에 대한 구체적인 내용은 없으며, 주기적인 검ㆍ교정을 통해 장비의 성능 저하가 발생하지 않도록 관리하시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실 내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 우리 국토안전관리원 건축시설관리실 (업무담당 황재승 ☏ 055-771-4817)로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
267,건설공사 종합평가(건설기술용역.시공) 관련 문의,개정된 시공평가  평가기준 적용 관련 질의,건설엔지니어링 및 시공 평가지침(국토교통부 고시 제2024-190호)이 2024.04.12. 에 개정되었습니다.시공평가는 총공사비 100억원 이상인 공사를 대상으로 준공 후 60일까지 실시하여야 합니다.발주처가 개정된 국토부 시공평가지침에 따라 평가기준을 변경하려고 준비 중 일 때2024.03.01에 준공한 사업의 시공사가 평가기준 변경전 시공평가를 받는다면80점을 받을 수 있고평가기준 변경 후 평가시90점을 받을 수 있다고 한다면시공사는 평가시기를 점수를 더 많이 받을 수 있는 평가기준 변경 후로 선택할 것입니다.이때 시공평가를 수행하는 발주처는점수와는 상관없이 시공사의 평가요청시기에 해당하는평가기준대로 평가를 하여도 상관없는 것인지질의합니다.,건설안전평가실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “시공평가 평가시기 및 평가방법”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 시공평가는 「건설기술진흥법」 제50조제2항에 따라 발주청이 그가 발주한 건설공사에 대하여          시공의 적정성을          평가하는 것으로, 같은법 시행령 제83조(건설엔지니어링 평가 및 시공평가의 기준 및 절차)제2항 및「건설엔지니            어링 및 시공 평가지침(국토교통부 고시 제2014-190호)」 제15조(평가대상)부터 제18조(세부평가기준)에       따라 발주         청이 시공평가를 실시하여야 합니다.    나. 건설엔지니어링 및 시공 평가지침」 부칙 제2조(경과조치)에 따라 발주청에서 시공평가에 필요한      자료를 건설            사업자(시공자)에게 요청한 일자가 지침개정일(2024년4월12일) 전·후인지를 확인하시고     종전지침 또는 개정지침              적용여부를 발주청에서 판단하여 시공평가를 실시하여야 될 것으로 판단됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과  다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전평가실(업무담당 최병기 ☏ 055-771-1608)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을    안내 드립니다.    감사합니다."
268,"댐, 하천, 항만 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",항만시설 정밀안전점검 직접인건비 산출 질의,"안녕하세요. 발주청에서 항만시설 정밀안전점검 용역 설계내역서를 작성 중인 직원입니다.이번에 정밀안전점검 법정 주기에 해당되는 부두의 정밀안전점검을 실시하려고 합니다. 해당 부두 외에 인접 부두의 방충재만 추가로 정밀안전점검을 실시하려고 합니다. 해당 방충재를 포함한 부두는 안전등급 B등급이며 작년에 정밀안전점검을 실시하여 올해 정밀안전점검 대상은 아니지만 추가 점검이 필요하다고 판단되어 진행하려고 합니다.이렇게 방충재만 추가로 정밀안전점검을 실시하려고 하는데 방충재만의 정밀안전점검 기준인원수는 시설물의 안전 및 유지관리 실시 등에 관한 지침에 나와있지 않은 것 같습니다. 방충재의 직접인건비 기준인원수 산정을 전체 부두에 대해 [항만(계류시설)]을 그대로 적용하면 용역 산출 비용이 과다하게 설계될 것 같아서 질의드립니다.이런 경우 해당 방충재를 포함한 부두 전체 면적에서 방충재가 차지하는 면적 비율로 기준인원을 산정하여도 되는지, 아니면 다른 방법이 있는지 질의드립니다.감사합니다.",시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “항만시설 정밀안전점검 대가 산정”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「시설물의 안전 및 유지관리 실시 등에 관한 지침(이하 “지침”)」 제55조 제2항을 참고하면 “대가는 정액적산방식(안전점검등 및 성능평가의 실시에 소요되는 기준인원수를 기초로 하여 대가를 산출하는 방식)에 따라 산출함을 원칙으로 한다＂라고 명시되어 있습니다.    나. 또한 제56조 제1항에 따르면 “직접인건비라 함은 ~ 별표 21의 기준시설물에 대한 별표 22의 시설물별 직접인건비 기준인원수에 대하여 별표 23의 시설물별 조정비를 적용하여 산출한다.”라고 제시하고 있습니다.    다. 따라서 “지침”의 대가기준은 시설물별 '기본시설물'에 대한 기준인원수만을 제시하고 있으므로, '부대시설물(방충재)' 등에 대한 개별 대가산정기준은 제시하고 있지 않으므로, 산정방법은 실적비용, 견적가, 귀하께서 말씀하신 방법 등 합리적 기준을 관리주체에서 판단하여 설계하시기 바랍니다. 지침상 기준이 없어 상세방법을 제시하여 드리지 못한점 양해하여 주시기 바랍니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 심규현 ☏ 055-771-8363)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                            "
269,안전관리계획서 작성 관련 문의,버팀대(레이커) 추가 설치시 구조안전성 검토 여부,"안녕하세요 2종 시설물 해당 현장입니다.당초 흙막이 지보공(2m이상) + 레이커 설치(4개소)를 시공하는 현장입니다.당초 설계 안대로 시공 후 공사 진행이 부진함에 계측변위가 발생하여 레이커를 추가로 3개소 더 설치하여 추가 변위가 발생하지 않도록 보강하려 할 때, 그에 대한 구조안전성 검토 확인 및 검토 결과를 제출 해야 하는지 문의 드립니다. 또한 구조안전성 검토 확인이 불가 할 시 감리원 및 발주처 등 승인 문서로 구조안전성 검토 확인이 완료 되었음을 대체 할 수 있는지 문의 드립니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 변경 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.    가.「건설기술진흥법 시행령」제98조제2항 “건설사업자와 주택건설등록업자는 법 제62조제1항에 따라 안전관리계획을 수립하여 발주청 또는 인 허가기관의 장에게 제출하는 경우에는 미리 공사감독자 또는 건설사업관리기술인의 검토 확인을 받아야 하며, 건설공사를 착공하기 전에 발주청 또는 인 허가기관의 장에게 제출하여야 한다. 안전관리계획의 내용을 변경하는 경우에도 또한 같다” 로 되어 있습니다. 따라서 안전관리계획서의 최초 제출과 내용이 변경되는 경우 제출하여 변경 승인을 받아야 합니다.    나. 가설구조물의 구조검토를 수반하지 않는 경미한 변경인 경우 안전관리계획서 검토의뢰 주체인 발주청 또는 인허가기관의 장과 협의하여 안전관리계획서 변경 검토의뢰 여부에 대하여 협의하실 것을 안내드리고 있지만, 당 현장의 경우 계측변위가 발생하여 흙막이 지보공 + 레이커설치 보강설치를 하는 경우로 흙막이 도면 및 구조 안전성 검토서가 변경됨에 따라 굴착 및 발파공사 공종에 관련 변경도면 및 구조 안전성 검토서를 변경검토 의뢰를 하여야 합니다.   다. 또한 안전관리계획서 및 검토결과 제출은 건설기술진흥법 제62조제3항에 따라 발주처(인.허가기관)에서 건설사업자로부터 제출받아 승인한 안전관리계획서 사본 과 검토결과를 국토부장관에게 제출해야 함으로 구조 안전성 검토 변경에 따른 변경내용을 CIS에 변경검토로 의뢰 하실것을 권고드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다."
270,"터널,공동구 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련문의",3종시설물 지하차도 정밀안전진단 중 접속 옹벽(U-TYPE)에 대한 현장조사 및 상태평가 관련입니다.,3종시설물 지하차도 정밀안전진단 중 접속옹벽에 대한 현장조사 및 상태평가 기준이정밀안전진단 수준으로 동일하게 실시하여야 하는지 아니면 정밀안전점검 수준으로 실시하여야 하는지 궁금합니다.점검수준에 따라 재료시험 및 상태평가가 달라 지기 때문입니다.감사합니다.,시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “지하차도 정밀안전진단” 에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 일반적으로 지하차도의 옹벽(제2종 옹벽 제외)구간은 터널의 부대시설로 구분되며, 해당시설물의 세부지침(옹벽편)에 따라 상태평가를 실시하여야 합니다. 나. 따라서, 접속 옹벽에 대한 현장조사 및 상태평가기준은 정밀안전진단 수준으로 실시하는 것이 바람직한 것으로 사료됩니다. 다만, 재료시험의 기준수량은 일반적으로 안전점검등의 대상시설물 중 기본시설물에서 실시해야 하는 수량이므로 지하차도구간을 대상으로 실시합니다. 반드시 부대시설에 대한 재료시험을 실시할 필요는 없으며, 책임기술자가 옹벽구간(부대시설)에 재료시험이 필요하다고 판단될 경우는 관리주체와 별도 협의하여 실시하시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 주익재 ☏ 055-771-8331)으로 문의하여 주시면 친절히 답변드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다. "
271,안전관리계획서 작성 관련 문의,안전관리계획서 변경제출 범위,"착공시 안전관리계획서 상에 들어간 정보가 조금이라도 바뀌면 실시간으로 변경제출을 하는것인지 문의드립니다.예를들면 1. 공사 중 시퀀스 변경에 따른 조닝계획, 착수일정 등 공정계획2. 사용 예정 장비 스펙3. 설계사에서 변경도면 출도4. 안전관리책임자 담당 등 인력계획 변경",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 변경제출 범위”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「건설기술진흥법 시행령」제98조제2항 “건설사업자와 주택건설등록업자는 법 제62조제1항에 따라 안전관리계획을 수립하여 발주청 또는 인 허가기관의 장에게 제출하는 경우에는 미리 공사감독자 또는 건설사업관리기술인의 검토 확인을 받아야 하며, 건설공사를 착공하기 전에 발주청 또는 인 허가기관의 장에게 제출하여야 한다. 안전관리계획의 내용을 변경하는 경우에도 또한 같다” 로 되어 있습니다. 따라서 안전관리계획서의 최초 제출과 내용이 변경되는 경우 제출하여 변경 승인을 받아야 합니다.    나. 다만 가설구조물의 구조검토를 다시 검토를 받는 경우가 아닌 변경 내용이 미비한 경우 안전관리계획서 제출 대상인 발주청 또는 인허가기관의 장과 협의하여 안전관리계획서 변경 여부에 대한 결정을 협의하실것을 권고드리고 있습니다.   다. 발주청 또는 인허가기관의 장과 협의에 따라 변경검토 필요시 아래의 검토항목에 변경내용을 포함하여 변경신청하여주시기 바랍니다.          총괄 안전관리계획: 가. 건설공사의 개요(공정표, 현장도면), 다.현장운영계획(안전관리조직)    공종별 세부 안전관리계획 : 가.가설공사(장비제원 변경)                                     4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
272,안전관리계획서 작성 관련 문의,높이 5미터 이상 동바리 무지보 공법도 안전관리게획서 수립대상(정기안전점검 대상)에 해당되는지,"건진법 시행령 제98조에 의하면, 시행령 제101조의2에 해당되는 가설구조물은 안전관리계획 수립대상이라 되어 있는데, 그렇다면 높이 5미터 이상에는 해당되나 동바리 지주를 사용하지 않는 무지보 공법(예 : 호리빔, 데크플레이트 등)은...1. 안전관리게획서 수립대상에 해당되는지요2. 해당된다면 정기안전점검도 필수적으로 받아야 하는지요",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “호리빔, 데크플레이트 안전관리 수립대상 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 안전관리계획 수립대상 건설공사는「건설기술진흥법 시행령」제98조제1항 각호의 어느 하나에 해당하는 건설공사는 안전관리계획 수립 대상공사에 해당하며, 질의하여주신 호리빔, 데크플레이트는 건축 자재로 분류되기 때문에 별로의 안전관리계획 수립대상에 해당되지 않으며 정기안전점검 대상에도 포함되지 않음을 알려드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                            "
273,안전관리계획서 작성 관련 문의,안전관리계획서 검토 의뢰,주택재개발 조합아파트의 착공전입니다.  안전관리계획서 작성중이며 제출전입니다.  조합의 업무지연으로 인해 감리자가 선정이 안되어 있는 상황으로 감리자 선정전에 안전관리계획서 접수 및 검토가 가능한 사항인지 문의드립니다.  착공계를 제출하여야 하는데 감리자 없이 검토완료 여부와 감리자 확인없는 안전관리계획서가  착공계에 첨부되어도 되는지 문의드립니다.,건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “감리사 미선정 시 안전관리계획 검토의뢰 방법”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 건설기술진흥법 시행령 제98조제2항에 따라 건설사업자와 주택건설등록업자는 안전관리계획을 수립하여 발주청 또는 인·허가기관의 장에게 제출하는 경우에는 미리 공사감독자 또는 건설사업관리기술인의 검토·확인을 받아야 한다고 명시되어있습니다. 이에 따라 시스템 내 공사감독자 또는 건설사업관리기술인의 확인기능을 두고 있습니다.    나. 단, 최초에 한하여 공사감독자 또는 건설사업관리기술인을 미지정하여도 접수를 받고 있음으로 안전관리계획서 등록을 하시면 될것을 안내드렸습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
274,"(건설공사) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",해체공사 중 감리업무 문의,"해체공사 중 감리업무 문의해체감리 시 폐기물처리까지 감리의 업무로 알고있습니다.폐기물 반출시, 폐기물을 싣고 나가는 모든 폐기물트럭(차량)의 번호판을 사진촬영해야 하는지 알고싶습니다.*현재 16개동으로 1동당 폐기물차 100대 예상하고 있습니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “폐기물 처리방법”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 질의하여주신 내용은 건설현장에서 발생하는 산업폐기물 처리방법에 대한것으로 파악됩니다.   나. 2024.05.02 오전 10시 10분경 유선상 통화를 진행하였으며 폐기물관리법에 대한 질의는 관련 인허가기관 및 환경부에 문의하시는게 옳다 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
